1.4986	0	1.16E-07	2.30E-08
1.5235	0	1.39E-07	2.77E-08
1.5484	0	1.59E-07	3.16E-08
1.572	0	1.82E-07	3.64E-08
1.5996	0	2.74E-07	5.45E-08
1.6231	0	3.79E-07	7.56E-08
1.6466	0	5.71E-07	1.15E-07
1.6603	0	8.25E-07	1.63E-07
1.6728	0	8.03E-07	1.63E-07
1.6783	0	1.11E-06	2.20E-07
1.6865	0	1.48E-06	2.97E-07
1.6962	0	1.95E-06	3.92E-07
1.7087	0	1.61E-06	3.25E-07
1.724	0	1.10E-06	2.20E-07
1.7283	0	8.25E-07	1.63E-07
1.7381	0	5.41E-07	1.05E-07
1.7479	0	3.59E-07	7.18E-08
1.7717	0	1.23E-07	2.49E-08
1.7955	0	4.45E-08	8.90E-09
1.8485	0	1.45E-08	8.71E-09
1.8969	0	2.37E-08	1.15E-08
1.9469	0	1.71E-08	8.52E-09
1.9968	0	1.86E-08	9.28E-09
2.0481	0	1.90E-08	9.57E-09
2.095	0	4.89E-08	9.57E-09
2.1961	0	7.77E-08	1.53E-08
2.2946	0	6.41E-08	1.24E-08
2.3931	0	5.99E-08	1.24E-08
2.4942	0	9.14E-08	1.82E-08

