(1.10575e-07,-5.14885e-08)
(-3.46026e-06,-7.43157e-06)
(7.31091e-10,1.67557e-05)
(0.000253404,7.48458e-08)
(-5.87899e-07,2.73751e-07)
(1.83973e-05,3.95117e-05)
(-3.40435e-07,1.58521e-07)
(1.65575e-06,3.55713e-06)
(1.76282e-06,7.14704e-07)
(5.77545e-05,-0.00014245)
(1.53001e-08,2.41712e-08)
(1.64809e-06,-1.04322e-06)
(1.43739e-07,-6.96233e-08)
(-3.61736e-06,-7.46884e-06)
(1.58367e-09,2.16566e-05)
(0.00025732,1.24691e-07)
(-7.64224e-07,3.70169e-07)
(1.92325e-05,3.97098e-05)
(-4.41115e-07,2.13664e-07)
(1.74691e-06,3.60868e-06)
(2.37207e-06,8.6645e-07)
(5.33591e-05,-0.000146079)
(2.25984e-08,3.18002e-08)
(1.61924e-06,-1.1507e-06)
(1.85467e-07,-9.34868e-08)
(-3.78512e-06,-7.51037e-06)
(3.35054e-09,2.77685e-05)
(0.000261697,2.04371e-07)
(-9.8608e-07,4.97045e-07)
(2.01245e-05,3.99307e-05)
(-5.67193e-07,2.859e-07)
(1.84634e-06,3.66639e-06)
(3.16829e-06,1.03055e-06)
(4.8721e-05,-0.000149783)
(3.29485e-08,4.14146e-08)
(1.58567e-06,-1.26152e-06)
(2.28526e-07,-1.19157e-07)
(-3.93531e-06,-7.54906e-06)
(6.18114e-09,3.40191e-05)
(0.000265787,3.05839e-07)
(-1.21502e-06,6.33527e-07)
(2.0923e-05,4.01364e-05)
(-6.96682e-07,3.6326e-07)
(1.93719e-06,3.72042e-06)
(4.01899e-06,1.17234e-06)
(4.4621e-05,-0.000152963)
(4.48299e-08,5.13042e-08)
(1.55358e-06,-1.35753e-06)
(2.77721e-07,-1.49616e-07)
(-4.08745e-06,-7.58969e-06)
(1.09356e-08,4.10974e-05)
(0.000270094,4.44966e-07)
(-1.47657e-06,7.95469e-07)
(2.17319e-05,4.03524e-05)
(-8.43949e-07,4.54658e-07)
(2.031e-06,3.77748e-06)
(5.02174e-06,1.30377e-06)
(4.05206e-05,-0.000156064)
(5.97397e-08,6.25181e-08)
(1.51943e-06,-1.4519e-06)
(3.29928e-07,-1.83111e-07)
(-4.23266e-06,-7.62981e-06)
(1.8081e-08,4.85419e-05)
(0.000274356,6.18844e-07)
(-1.75414e-06,9.73553e-07)
(2.25039e-05,4.05657e-05)
(-9.99526e-07,5.54739e-07)
(2.12219e-06,3.83416e-06)
(6.11724e-06,1.41091e-06)
(3.66578e-05,-0.00015892)
(7.69787e-08,7.42806e-08)
(1.48552e-06,-1.53947e-06)
(3.88243e-07,-2.21805e-07)
(-4.38032e-06,-7.67194e-06)
(2.90425e-08,5.67819e-05)
(0.000278839,8.43978e-07)
(-2.06419e-06,1.17928e-06)
(2.3289e-05,4.07897e-05)
(-1.17252e-06,6.69865e-07)
(2.21657e-06,3.89406e-06)
(7.37454e-06,1.4945e-06)
(3.27811e-05,-0.00016173)
(9.78179e-08,8.72134e-08)
(1.44992e-06,-1.62621e-06)
(3.93763e-07,-2.25533e-07)
(-4.39365e-06,-7.67581e-06)
(3.02595e-08,5.7558e-05)
(0.000279251,8.66943e-07)
(-2.09354e-06,1.1991e-06)
(2.33599e-05,4.08103e-05)
(-1.18886e-06,6.80932e-07)
(2.22517e-06,3.89958e-06)
(7.49526e-06,1.50055e-06)
(3.24337e-05,-0.000161979)
(9.98727e-08,8.84253e-08)
(1.44666e-06,-1.63393e-06)
(4.23807e-07,-2.46013e-07)
(-4.46448e-06,-7.69654e-06)
(3.74663e-08,6.17707e-05)
(0.00028146,9.96848e-07)
(-2.25327e-06,1.30799e-06)
(2.37365e-05,4.09205e-05)
(-1.27765e-06,7.41655e-07)
(2.27111e-06,3.92923e-06)
(8.15714e-06,1.52802e-06)
(3.05947e-05,-0.000163292)
(1.11296e-07,9.49811e-08)
(1.42919e-06,-1.67467e-06)
(4.50919e-07,-2.6476e-07)
(-4.52613e-06,-7.71484e-06)
(4.48518e-08,6.55555e-05)
(0.00028341,1.12111e-06)
(-2.39742e-06,1.40766e-06)
(2.40642e-05,4.10178e-05)
(-1.35761e-06,7.97127e-07)
(2.31139e-06,3.95548e-06)
(8.76115e-06,1.54509e-06)
(2.90039e-05,-0.000164419)
(1.21943e-07,1.00836e-07)
(1.41382e-06,-1.70974e-06)
(4.56826e-07,-2.68877e-07)
(-4.5393e-06,-7.71878e-06)
(4.65769e-08,6.63783e-05)
(0.000283829,1.14907e-06)
(-2.42883e-06,1.42955e-06)
(2.41343e-05,4.10387e-05)
(-1.37501e-06,8.09298e-07)
(2.32003e-06,3.96114e-06)
(8.89359e-06,1.54787e-06)
(2.86652e-05,-0.000164658)
(1.24304e-07,1.02104e-07)
(1.41052e-06,-1.71719e-06)
(4.8282e-07,-2.87129e-07)
(-4.59623e-06,-7.73592e-06)
(5.46782e-08,6.999e-05)
(0.000285656,1.27575e-06)
(-2.56702e-06,1.52659e-06)
(2.44369e-05,4.11299e-05)
(-1.4515e-06,8.63193e-07)
(2.35753e-06,3.98583e-06)
(9.47975e-06,1.55612e-06)
(2.72059e-05,-0.000165684)
(1.3487e-07,1.0765e-07)
(1.39618e-06,-1.7492e-06)
(4.88908e-07,-2.91436e-07)
(-4.60933e-06,-7.73989e-06)
(5.66989e-08,7.0834e-05)
(0.00028608,1.30629e-06)
(-2.5994e-06,1.54949e-06)
(2.45066e-05,4.1151e-05)
(-1.46939e-06,8.75897e-07)
(2.3662e-06,3.99157e-06)
(9.61784e-06,1.55714e-06)
(2.68711e-05,-0.000165918)
(1.37386e-07,1.08941e-07)
(1.39286e-06,-1.75653e-06)
(5.07374e-07,-3.04568e-07)
(-4.64857e-06,-7.75185e-06)
(6.31216e-08,7.33895e-05)
(0.000287354,1.4009e-06)
(-2.69758e-06,1.61931e-06)
(2.47152e-05,4.12146e-05)
(-1.52363e-06,9.14607e-07)
(2.39222e-06,4.00884e-06)
(1.00384e-05,1.55811e-06)
(2.5871e-05,-0.000166616)
(1.45108e-07,1.12836e-07)
(1.38289e-06,-1.77838e-06)
(5.19851e-07,-3.13501e-07)
(-4.67467e-06,-7.75986e-06)
(6.77165e-08,7.51123e-05)
(0.000288207,1.46649e-06)
(-2.76391e-06,1.6668e-06)
(2.4854e-05,4.12571e-05)
(-1.56023e-06,9.40912e-07)
(2.40959e-06,4.02043e-06)
(1.03241e-05,1.55701e-06)
(2.52077e-05,-0.000167078)
(1.50403e-07,1.15452e-07)
(1.37623e-06,-1.79284e-06)
(5.24039e-07,-3.1651e-07)
(-4.68335e-06,-7.76253e-06)
(6.9306e-08,7.569e-05)
(0.000288492,1.48881e-06)
(-2.78618e-06,1.6828e-06)
(2.49002e-05,4.12714e-05)
(-1.57251e-06,9.49769e-07)
(2.41538e-06,4.0243e-06)
(1.04202e-05,1.55632e-06)
(2.49873e-05,-0.000167231)
(1.52195e-07,1.16327e-07)
(1.37401e-06,-1.79764e-06)
(5.40935e-07,-3.28704e-07)
(-4.71806e-06,-7.77326e-06)
(7.59636e-08,7.8017e-05)
(0.000289635,1.58039e-06)
(-2.87601e-06,1.74763e-06)
(2.50847e-05,4.13284e-05)
(-1.62203e-06,9.85637e-07)
(2.43858e-06,4.03986e-06)
(1.08095e-05,1.55195e-06)
(2.41085e-05,-0.000167841)
(1.59493e-07,1.19841e-07)
(1.36511e-06,-1.81676e-06)
(5.53758e-07,-3.38015e-07)
(-4.74403e-06,-7.78134e-06)
(8.12825e-08,7.97795e-05)
(0.000290495,1.65151e-06)
(-2.94419e-06,1.79714e-06)
(2.52228e-05,4.13713e-05)
(-1.65957e-06,1.013e-06)
(2.456e-06,4.05159e-06)
(1.11063e-05,1.54694e-06)
(2.34525e-05,-0.000168294)
(1.65107e-07,1.22491e-07)
(1.35842e-06,-1.83101e-06)
(5.58061e-07,-3.4115e-07)
(-4.75268e-06,-7.78404e-06)
(8.31197e-08,8.03702e-05)
(0.000290782,1.67569e-06)
(-2.96707e-06,1.8138e-06)
(2.52688e-05,4.13857e-05)
(-1.67216e-06,1.02221e-06)
(2.46181e-06,4.05551e-06)
(1.12062e-05,1.54494e-06)
(2.32345e-05,-0.000168445)
(1.67005e-07,1.23377e-07)
(1.35619e-06,-1.83574e-06)
(5.84174e-07,-3.60292e-07)
(-4.80447e-06,-7.80029e-06)
(9.4846e-08,8.39476e-05)
(0.000292512,1.82577e-06)
(-3.1059e-06,1.91558e-06)
(2.55441e-05,4.14721e-05)
(-1.74849e-06,1.07839e-06)
(2.49672e-06,4.07918e-06)
(1.18151e-05,1.52932e-06)
(2.19323e-05,-0.000169341)
(1.78677e-07,1.28717e-07)
(1.34279e-06,-1.86395e-06)
(6.28803e-07,-3.93455e-07)
(-4.89042e-06,-7.82761e-06)
(1.17262e-07,9.00329e-05)
(0.000295418,2.09536e-06)
(-3.34318e-06,2.0919e-06)
(2.60011e-05,4.16173e-05)
(-1.87866e-06,1.17552e-06)
(2.55505e-06,4.11909e-06)
(1.28667e-05,1.48915e-06)
